Test: partitions, one client (3A) ...
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 0 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 2 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 3 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 4 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
server 1 PutAppend: id(3606757872995836852:1) cmd(Put) key(0) val()
